sample_id,userid,sensor,body_part,side,sequence_length
1,user01,smartwatch,hand,left,3000
9,user01,smartwatch,hand,left,3000
12,user01,smartwatch,hand,left,3000
16,user01,smartwatch,hand,left,3000
17,user01,smartwatch,hand,left,3000
25,user01,smartwatch,hand,left,3000
27,user01,smartwatch,hand,left,3000
28,user01,smartwatch,hand,left,3000
30,user01,smartwatch,hand,left,3000
31,user01,smartwatch,hand,left,3000
33,user01,smartwatch,hand,left,3000
38,user01,smartwatch,hand,left,3000
42,user01,smartwatch,hand,left,3000
43,user01,smartwatch,hand,left,3000
45,user01,smartwatch,hand,left,3500
46,user01,smartwatch,hand,left,3500
54,user01,smartwatch,hand,left,3500
57,user01,smartwatch,hand,left,3500
58,user01,smartwatch,hand,left,3500
60,user01,smartwatch,hand,left,3500
61,user01,smartwatch,hand,left,3500
65,user01,smartwatch,hand,left,3500
66,user01,smartwatch,hand,left,3500
68,user01,smartwatch,hand,left,3500
71,user01,smartwatch,hand,left,3500
76,user01,smartwatch,hand,left,3500
77,user01,smartwatch,hand,left,3500
81,user01,smartwatch,hand,left,3500
88,user01,smartwatch,hand,left,4000
91,user01,smartwatch,hand,left,4000
96,user01,smartwatch,hand,left,4000
97,user01,smartwatch,hand,left,4000
99,user01,smartwatch,hand,left,4000
105,user01,smartwatch,hand,left,4000
107,user01,smartwatch,hand,left,4000
117,user01,smartwatch,hand,left,4000
124,user01,smartwatch,hand,left,4000
125,user01,smartwatch,hand,left,4000
127,user01,smartwatch,hand,left,4000
129,user01,smartwatch,hand,right,3000
130,user01,smartwatch,hand,right,3000
135,user01,smartwatch,hand,right,3000
136,user01,smartwatch,hand,right,3000
138,user01,smartwatch,hand,right,3000
145,user01,smartwatch,hand,right,3000
147,user01,smartwatch,hand,right,3000
148,user01,smartwatch,hand,right,3000
150,user01,smartwatch,hand,right,3000
156,user01,smartwatch,hand,right,3000
160,user01,smartwatch,hand,right,3000
162,user01,smartwatch,hand,right,3000
164,user01,smartwatch,hand,right,3000
166,user01,smartwatch,hand,right,3000
167,user01,smartwatch,hand,right,3000
168,user01,smartwatch,hand,right,3000
177,user01,smartwatch,hand,right,3500
180,user01,smartwatch,hand,right,3500
183,user01,smartwatch,hand,right,3500
191,user01,smartwatch,hand,right,3500
193,user01,smartwatch,hand,right,3500
194,user01,smartwatch,hand,right,3500
196,user01,smartwatch,hand,right,3500
199,user01,smartwatch,hand,right,3500
201,user01,smartwatch,hand,right,3500
206,user01,smartwatch,hand,right,3500
208,user01,smartwatch,hand,right,3500
211,user01,smartwatch,hand,right,3500
215,user01,smartwatch,hand,right,3500
217,user01,smartwatch,hand,right,4000
218,user01,smartwatch,hand,right,4000
220,user01,smartwatch,hand,right,4000
221,user01,smartwatch,hand,right,4000
222,user01,smartwatch,hand,right,4000
226,user01,smartwatch,hand,right,4000
239,user01,smartwatch,hand,right,4000
240,user01,smartwatch,hand,right,4000
242,user01,smartwatch,hand,right,4000
243,user01,smartwatch,hand,right,4000
257,user01,smartwatch,hand,right,4000
258,user01,vicon,hand,left,3000
259,user01,vicon,hand,left,3000
269,user01,vicon,hand,left,4000
272,user01,vicon,hand,left,4000
276,user01,vicon,foot,right,3000
283,user01,vicon,foot,right,3500
284,user01,vicon,foot,right,3500
295,user01,vicon,hand,right,3000
297,user01,vicon,hand,right,3000
298,user01,vicon,hand,right,3000
299,user01,vicon,hand,right,3000
301,user01,vicon,hand,right,3000
303,user01,vicon,hand,right,3500
306,user01,vicon,hand,right,3500
311,user01,vicon,hand,right,3500
313,user01,vicon,hand,right,4000
315,user01,vicon,hand,right,4000
328,user01,smartwatch,hand,left,3000
331,user01,smartwatch,hand,left,3000
338,user01,smartwatch,hand,left,3000
341,user01,smartwatch,hand,left,3000
342,user01,smartwatch,hand,left,3000
344,user01,smartwatch,hand,left,3000
345,user01,smartwatch,hand,left,3000
349,user01,smartwatch,hand,left,3000
358,user01,smartwatch,hand,left,3000
359,user01,smartwatch,hand,left,3000
360,user01,smartwatch,hand,left,3000
372,user01,smartwatch,hand,left,3000
373,user01,smartwatch,hand,left,3000
376,user01,smartwatch,hand,left,3000
380,user01,smartwatch,hand,left,3000
382,user01,smartwatch,hand,left,3500
388,user01,smartwatch,hand,left,3500
393,user01,smartwatch,hand,left,3500
397,user01,smartwatch,hand,left,3500
398,user01,smartwatch,hand,left,3500
399,user01,smartwatch,hand,left,3500
400,user01,smartwatch,hand,left,3500
401,user01,smartwatch,hand,left,3500
411,user01,smartwatch,hand,left,3500
413,user01,smartwatch,hand,left,3500
416,user01,smartwatch,hand,left,3500
417,user01,smartwatch,hand,left,3500
421,user01,smartwatch,hand,left,3500
424,user01,smartwatch,hand,left,3500
428,user01,smartwatch,hand,left,3500
431,user01,smartwatch,hand,left,3500
439,user01,smartwatch,hand,left,3500
445,user01,smartwatch,hand,left,4000
447,user01,smartwatch,hand,left,4000
450,user01,smartwatch,hand,left,4000
451,user01,smartwatch,hand,left,4000
452,user01,smartwatch,hand,left,4000
455,user01,smartwatch,hand,left,4000
456,user01,smartwatch,hand,left,4000
457,user01,smartwatch,hand,left,4000
459,user01,smartwatch,hand,left,4000
463,user01,smartwatch,hand,left,4000
465,user01,smartwatch,hand,left,4000
468,user01,smartwatch,hand,left,4000
472,user01,smartwatch,hand,left,4000
474,user01,smartwatch,hand,left,4000
476,user01,smartwatch,hand,left,4000
479,user01,smartwatch,hand,left,4000
483,user01,smartwatch,hand,left,4000
486,user01,smartwatch,hand,left,4000
490,user01,smartwatch,hand,left,4000
491,user01,smartwatch,hand,left,4000
492,user01,smartwatch,hand,left,4000
494,user01,smartwatch,hand,left,4000
495,user01,smartwatch,hand,left,4000
498,user01,smartwatch,hand,left,4000
499,user01,smartwatch,hand,right,3000
500,user01,smartwatch,hand,right,3000
503,user01,smartwatch,hand,right,3000
504,user01,smartwatch,hand,right,3000
505,user01,smartwatch,hand,right,3000
507,user01,smartwatch,hand,right,3000
512,user01,smartwatch,hand,right,3000
517,user01,smartwatch,hand,right,3000
519,user01,smartwatch,hand,right,3000
